geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6095253402,Dixon,95620,Solano,38.4428124,-121.8169166,560.3641139,3.42,1681,110,0.06543723973825104,23.045454545454547,0,1497.2545454545455,65.8,12.2,85.2,9.3,15,16.9,84,17.3,11.3,25.3,19.7,7.4,12.6,6.4,71.4,19,18.5,56.1,3.6,10.1,11.6,25.3,5.6,3.7,0,0,89.7,0.9,64.5,20,20,0,0,0
6095253403,Dixon,95620,Solano,38.4286407,-121.8516301,552.7298358,4.13,1171,75,0.06404782237403928,30.733333333333334,0,2195.9733333333334,62.1,5.8,90.8,10.1,3.8,6,89.6,10.2,6.7,25.5,26.6,9.6,11.7,9.7,83.1,21.4,24.7,56,2.6,5.7,11,15.1,13.6,23,0,0,63.4,0,33.4,10.9,9.2,1.5,0.2,0
6095253404,Dixon,95620,Solano,38.4598591,-121.8314911,467.8564042,3.3,1844,199,0.1079175704989154,32.85427135678392,0,827.6281407035176,66.1,10.4,92.1,8.5,12.9,17.2,88.6,12.6,6.2,23.5,23,9.7,15.6,9.5,81.2,25.1,34.5,48.8,3.1,5.4,8.3,16,6.1,6.5,0,0,87.4,0,68,13.1,12.9,0,0.2,0
6095253500,Unincorporated Solano County area,94571,Solano,38.2050259,-121.7715997,524.9499819,7.08,1337,44,0.032909498878085267,22,0,3743.1363636363635,38.3,15.4,85.9,19.8,9.7,11.8,81.9,5.9,5.7,22.6,29.6,10.4,16.7,9.1,88.4,25.8,18.1,52.7,0,13.5,15.7,15.3,11.4,37.1,0,0,47.9,3.6,39.5,7.5,6,0.2,1.4,0
6097150100,Unincorporated Sonoma County area,95476,Sonoma,38.1968029,-122.4269124,513.5703865,4.42,553,15,0.027124773960216998,27,0,10979.866666666667,62.5,3.4,91.3,9,6.1,8.2,87.5,2.8,4.9,23.3,17.8,8.8,32.4,10.1,92.4,42.5,20.7,49.7,1.4,10.3,18,8.2,36.9,4.1,0,2.8,52.5,3.7,47.5,4.3,4.3,0,0,0
6097150202,Unincorporated Sonoma County area,95476,Sonoma,38.318835,-122.4393662,337.0211775,3.5,957,0,0,NA,NA,NA,56.9,7.7,93.3,9.1,2.4,5.1,87.7,1.8,1.6,18.5,20.3,10,30.2,17.7,96.7,47.8,21.8,49.6,0.4,10,18.1,10.5,34.9,32.9,4.2,0,20.2,7.7,22.1,4.8,2,0.3,2.4,0
6097150203,Sonoma,95476,Sonoma,38.2775446,-122.4621638,346.9548813,5.24,861,0,0,NA,NA,NA,48.9,11.6,85.3,16.8,12,12.7,89.4,4.8,4.2,16.6,32.7,8.3,22.7,10.7,91,33.4,16.1,40.5,3.5,16,23.8,11.4,23.7,8.5,0,0,64.6,3.3,36.3,4.9,3.8,0.8,0.4,0
6097150204,Sonoma,95476,Sonoma,38.2867715,-122.451008,351.4695304,2.14,729,50,0.06858710562414266,31.4,0,3293.96,60.9,7.4,92.4,6.5,8.7,14,89.9,1.8,4.3,15.4,26.1,10.5,26.8,15.1,93.9,41.9,18.5,43.4,0.6,14,23.5,11.2,39.2,17.3,0,2.4,39.5,1.7,40.4,5,2.2,2,0.8,0
6097150303,Unincorporated Sonoma County area,95476,Sonoma,38.3129516,-122.5327531,392.3142062,4.6,414,0,0,NA,NA,NA,46,11.2,92.5,18.9,0,4.7,90.5,1.5,3.7,18.1,19.9,7.9,34.3,14.7,94.8,49,11.8,52.5,0.6,11.5,23.5,6.8,6.3,26.1,0,0.7,62,5,37,3.8,2.6,0.8,0.3,0
6097150304,Boyes Hot Springs,95476,Sonoma,38.306745,-122.4902094,291.0907377,3.33,1306,53,0.04058192955589587,34.54716981132076,0,3107.509433962264,58.9,8.2,83.1,10.3,5.4,11,90.8,10.9,10.7,13.7,24,6.3,23.5,10.8,78.4,34.3,24.1,52.5,1.8,4.3,17.2,21.1,15.7,1.7,0,3.7,77.3,1.7,83.9,15.9,15.9,0,0,0
